frame	y	r0	r1	r5	scanline
7052	01	FC	14	14	-1
7053	00	FC	14	14	-1
7053	01	FC	14	14	-1
7054	00	FC	14	14	-1
7054	01	FC	14	14	-1
7055	00	FC	14	14	-1
7055	01	FC	14	14	-1
7056	00	FC	14	14	-1
7056	01	FC	14	14	-1
7057	00	FC	14	14	-1
7057	01	FC	14	14	-1
7058	00	FC	14	14	-1
7058	01	FC	14	14	-1
7059	00	FC	14	14	-1
7059	01	FC	14	14	-1
7060	00	FC	14	14	-1
7060	01	FC	14	14	-1
7061	00	FC	14	14	-1
7061	01	FC	14	14	-1
7062	00	FC	14	14	-1
7062	01	FC	14	14	-1
7063	00	FC	14	14	-1
7063	01	FC	14	14	-1
7064	00	FC	14	14	-1
7064	01	FC	14	14	-1
7065	00	FC	14	14	-1
7065	01	FC	14	14	-1
7066	00	FC	14	14	-1
7066	01	FC	14	14	-1
7067	00	FC	14	14	-1
7067	01	FC	14	14	-1
7068	00	FC	14	14	-1
7068	01	FC	14	14	-1
7069	00	FC	14	14	-1
7069	01	FC	14	14	-1
7070	00	FC	14	14	-1
7070	01	FC	14	14	-1
7071	00	FC	14	14	-1
7071	01	FC	14	14	-1
7072	00	FC	14	14	-1
7072	01	FC	14	14	-1
7073	00	FC	14	14	-1
7073	01	FC	14	14	-1
7074	00	FC	14	14	-1
7074	01	FC	14	14	-1
7075	00	FC	14	14	-1
7075	01	FC	14	14	-1
7076	00	FC	14	14	-1
7076	01	FC	14	14	-1
7077	00	FC	14	14	-1
7077	01	FC	14	14	-1
7078	00	FC	14	14	-1
7078	01	FC	14	14	-1
7079	00	FC	14	14	-1
7079	01	FC	14	14	-1
7080	00	FC	14	14	-1
7080	01	FC	14	14	-1
7081	00	FC	14	14	-1
7081	01	FC	14	14	-1
7082	00	FC	14	14	-1
7082	01	FC	14	14	-1
7083	00	FC	14	14	-1
7083	01	FC	14	14	-1
7084	00	FC	14	14	-1
7084	01	FC	14	14	-1
7085	00	FC	14	14	-1
7085	01	FC	14	14	-1
7086	00	FC	14	14	-1
7086	01	FC	14	14	-1
7087	00	FC	14	14	-1
7087	01	FC	14	14	-1
7088	00	FC	14	14	-1
7088	01	FC	14	14	-1
7089	00	FC	14	14	-1
7089	01	FC	14	14	-1
7090	00	FC	14	14	-1
7090	01	FC	14	14	-1
7091	00	FC	14	14	-1
7091	01	FC	14	14	-1
7092	00	FC	14	14	-1
7092	01	FC	14	14	-1
7093	00	FC	14	14	-1
7093	01	FC	14	14	-1
7094	00	FC	14	14	-1
7094	01	FC	14	14	-1
7095	00	FC	14	14	-1
7095	01	FC	14	14	-1
7096	00	FC	14	14	-1
7096	01	FC	14	14	-1
7097	00	FC	14	14	-1
7097	01	FC	14	14	-1
7098	00	FC	14	14	-1
7098	01	FC	14	14	-1
7099	00	FC	14	14	-1
7099	01	FC	14	14	-1
7100	00	FC	14	14	-1
7100	01	FC	14	14	-1
7101	00	FC	14	14	-1
7101	01	FC	14	14	-1
7102	00	FC	14	14	-1
7102	01	FC	14	14	-1
7103	00	FC	14	14	-1
7103	01	FC	14	14	-1
7104	00	FC	14	14	-1
7104	01	FC	14	14	-1
7105	00	FC	14	14	-1
7105	01	FC	14	14	-1
7106	00	FC	14	14	-1
7106	01	FC	14	14	-1
7107	00	FC	14	14	-1
7107	01	FC	14	14	-1
7108	00	FC	14	14	-1
7108	01	FC	14	14	-1
7109	00	FC	14	14	-1
7109	01	FC	14	14	-1
7110	00	FC	14	14	-1
7110	01	FC	14	14	-1
7111	00	FC	14	14	-1
7111	01	FC	14	14	-1
7112	00	FC	14	14	-1
7112	01	FC	14	14	-1
7113	00	FC	14	14	-1
7113	01	FC	14	14	-1
7114	00	FC	14	14	-1
7114	01	FC	14	14	-1
7115	00	FC	14	14	-1
7115	01	FC	14	14	-1
7116	00	FC	14	14	-1
7116	01	FC	14	14	-1
7117	00	FC	14	14	-1
7117	01	FC	14	14	-1
7118	00	FC	14	14	-1
7118	01	FC	14	14	-1
7119	00	FC	14	14	-1
7119	01	FC	14	14	-1
7120	00	FC	14	14	-1
7120	01	FC	14	14	-1
7121	00	FC	14	14	-1
7121	01	FC	14	14	-1
7122	00	FC	14	14	-1
7122	01	FC	14	14	-1
7123	00	FC	14	14	-1
7123	01	FC	14	14	-1
7124	00	FC	14	14	-1
7124	01	FC	14	14	-1
7125	00	FC	14	14	-1
7125	01	FC	14	14	-1
7126	00	FC	14	14	-1
7126	01	FC	14	14	-1
7127	00	FC	14	14	-1
7127	01	FC	14	14	-1
7128	00	FC	14	14	-1
7128	01	FC	14	14	-1
7129	00	FC	14	14	-1
7129	01	FC	14	14	-1
7130	00	FC	14	14	-1
7130	01	FC	14	14	-1
7131	00	FC	14	14	-1
7131	01	FC	14	14	-1
7132	00	FC	14	14	-1
7132	01	FC	14	14	-1
7133	00	FC	14	14	-1
7133	01	FC	14	14	-1
7134	00	FC	14	14	-1
7134	01	FC	14	14	-1
7135	00	FC	14	14	-1
7135	01	FC	14	14	-1
7136	00	FC	14	14	-1
7136	01	FC	14	14	-1
7137	00	FC	14	14	-1
7137	01	FC	14	14	-1
7138	00	FC	14	14	-1
7138	01	FC	14	14	-1
7139	00	FC	14	14	-1
7139	01	FC	14	14	-1
7140	00	FC	14	14	-1
7140	01	FC	14	14	-1
7141	00	FC	14	14	-1
7141	01	FC	14	14	-1
7142	00	FC	14	14	-1
7142	01	FC	14	14	-1
7143	00	FC	14	14	-1
7143	01	FC	14	14	-1
7144	00	FC	14	14	-1
7144	01	FC	14	14	-1
7145	00	FC	14	14	-1
7145	01	FC	14	14	-1
7146	00	FC	14	14	-1
7146	01	FC	14	14	-1
7147	00	FC	14	14	-1
7147	01	FC	14	14	-1
7148	00	FC	14	14	-1
7148	01	FC	14	14	-1
7149	00	FC	14	14	-1
7149	01	FC	14	14	-1
7150	00	FC	14	14	-1
7150	01	FC	14	14	-1
7151	00	FC	14	14	-1
7151	01	FC	14	14	-1
7152	00	FC	14	14	-1
7152	01	FC	14	14	-1
7153	00	FC	14	14	-1
7153	01	FC	14	14	-1
7154	00	FC	14	14	-1
7154	01	FC	14	14	-1
7155	00	FC	14	14	-1
7155	01	FC	14	14	-1
7156	00	FC	14	14	-1
7156	01	FC	14	14	-1
7157	00	FC	14	14	-1
7157	01	FC	14	14	-1
7158	00	FC	14	14	-1
7158	01	FC	14	14	-1
7159	00	FC	14	14	-1
7159	01	FC	14	14	-1
7160	00	FC	14	14	-1
7160	01	FC	14	14	-1
7161	00	FC	14	14	-1
7161	01	FC	14	14	-1
7162	00	FC	14	14	-1
7162	01	FC	14	14	-1
7163	00	FC	14	14	-1
7163	01	FC	14	14	-1
7164	00	FC	14	14	-1
7164	01	FC	14	14	-1
7165	00	FC	14	14	-1
7165	01	FC	14	14	-1
7166	00	FC	14	14	-1
7166	01	FC	14	14	-1
7167	00	FC	14	14	-1
7167	01	FC	14	14	-1
7168	00	FC	14	14	-1
7168	01	FC	14	14	-1
7169	00	FC	14	14	-1
7169	01	FC	14	14	-1
7170	00	FC	14	14	-1
7170	01	FC	14	14	-1
7171	00	FC	14	14	-1
7171	01	FC	14	14	-1
7172	00	FC	14	14	-1
7172	01	FC	14	14	-1
7173	00	FC	14	14	-1
7173	01	FC	14	14	-1
7174	00	FC	14	14	-1
7174	01	FC	14	14	-1
7175	00	FC	14	14	-1
7175	01	FC	14	14	-1
7176	00	FC	14	14	-1
7176	01	FC	14	14	-1
7177	00	FC	14	14	-1
7177	01	FC	14	14	-1
7178	00	FC	14	14	-1
7178	01	FC	14	14	-1
7179	00	FC	14	14	-1
7179	01	FC	14	14	-1
7180	00	FC	14	14	-1
7180	01	FC	14	14	-1
7181	00	FC	14	14	-1
7181	01	FC	14	14	-1
7182	00	FC	14	14	-1
7182	01	FC	14	14	-1
7183	00	FC	14	14	-1
7183	01	FC	14	14	-1
7184	00	FC	14	14	-1
7184	01	FC	14	14	-1
7185	00	FC	14	14	-1
7185	01	FC	14	14	-1
7186	00	FC	14	14	-1
7186	01	FC	14	14	-1
7187	00	FC	0A	0A	-1
7187	01	FC	0A	0A	-1
7188	00	FC	0A	0A	-1
7188	01	FC	0A	0A	-1
7189	00	FC	0A	0A	-1
7189	01	FC	0A	0A	-1
7190	00	FC	0A	0A	-1
7190	01	FC	0A	0A	-1
7191	00	FC	0A	0A	-1
7191	01	FC	0A	0A	-1
7192	00	FC	0A	0A	-1
7192	01	FC	0A	0A	-1
7193	00	FC	0A	0A	-1
7193	01	FC	0A	0A	-1
7194	00	FC	0A	0A	-1
7194	01	FC	0A	0A	-1
7195	00	FC	0A	0A	-1
7195	01	FC	0A	0A	-1
7196	00	FC	0A	0A	-1
7196	01	FC	0A	0A	-1
7197	00	FC	0A	0A	-1
7197	01	FC	0A	0A	-1
