frame	crossing	r0	top_r1	split_r1	r5
7123	0	FC	E2	14	14
7124	0	FC	E2	14	14
7125	0	FC	E2	14	14
7126	0	FC	E2	14	14
7127	0	FC	E2	14	14
7128	0	FC	E2	14	14
7129	0	FC	E2	14	14
7130	0	FC	E2	14	14
7131	0	FC	E2	14	14
7132	0	FC	E2	14	14
7133	0	FC	E2	14	14
7134	0	FC	E2	14	14
7135	0	FC	E2	14	14
7136	0	FC	E2	14	14
7137	0	FC	E2	14	14
7138	0	FC	E2	14	14
7139	0	FC	E2	14	14
7140	0	FC	E2	14	14
7141	0	FC	E2	14	14
7142	0	FC	E2	14	14
7143	0	FC	E2	14	14
7144	0	FC	E2	14	14
7145	0	FC	E2	14	14
7146	0	FC	E2	14	14
7147	0	FC	E2	14	14
7148	0	FC	E2	14	14
7149	0	FC	E2	14	14
7150	0	FC	E2	14	14
7151	0	FC	E2	14	14
7152	0	FC	E2	14	14
7153	0	FC	E2	14	14
7154	0	FC	E2	14	14
7155	0	FC	E2	14	14
7156	0	FC	E2	14	14
7157	0	FC	E2	14	14
7158	0	FC	E2	14	14
7159	0	FC	E2	14	14
7160	0	FC	E2	14	14
7161	0	FC	E2	14	14
7162	0	FC	E2	14	14
7163	0	FC	E2	14	14
7164	0	FC	E2	14	14
7165	0	FC	E2	14	14
7166	0	FC	E2	14	14
7167	0	FC	E2	14	14
7168	0	FC	E2	14	14
7169	0	FC	E2	14	14
7170	0	FC	E2	14	14
7171	0	FC	E2	14	14
7172	0	FC	E2	14	14
7173	0	FC	E2	14	14
7174	0	FC	E2	14	14
7175	0	FC	E2	14	14
7176	0	FC	E2	14	14
7177	0	FC	E2	14	14
7178	0	FC	E2	14	14
7179	0	FC	E2	14	14
7180	0	FC	E2	14	14
7181	0	FC	E2	14	14
7182	0	FC	E2	14	14
7183	0	FC	E2	14	14
7184	0	FC	E2	14	14
7185	0	FC	E2	14	14
7186	0	FC	E2	14	14
7187	0	FC	E2	14	14
7188	0	FC	E2	0A	0A
7189	0	FC	E2	0A	0A
7190	0	FC	E2	0A	0A
7191	0	FC	E2	0A	0A
7192	0	FC	E2	0A	0A
7193	0	FC	E2	0A	0A
7194	0	FC	E2	0A	0A
7195	0	FC	E2	0A	0A
7196	0	FC	E2	0A	0A
7197	0	FC	E2	0A	0A
7198	0	FC	E2	0A	0A
7199	0	FC	E2	0A	0A
7200	0	FC	E2	0A	0A
7201	0	FC	E2	0A	0A
7202	0	FC	E2	0A	0A
7203	0	FC	E2	0A	0A
7204	0	FC	E2	0A	0A
7205	0	FC	E2	0A	0A
7206	0	FC	E2	0A	0A
7207	0	FC	E2	0A	0A
7208	0	FC	E2	0A	0A
7209	0	FC	E2	0A	0A
7210	0	FC	E2	0A	0A
7211	0	FC	E2	0A	0A
7212	0	FC	E2	0A	0A
7213	0	FC	E2	0A	0A
7214	0	FC	E2	0A	0A
7215	0	FC	E2	0A	0A
7216	0	FC	E2	0A	0A
7217	0	FC	E2	0A	0A
7218	0	FC	E2	0A	0A
7219	0	FC	E2	0A	0A
7220	0	FC	E2	0A	0A
7221	0	FC	E2	0A	0A
7222	0	FC	E2	0A	0A
7223	0	FC	E2	0A	0A
7224	0	FC	E2	0A	0A
7225	0	FC	E2	0A	0A
7226	0	FC	E2	0A	0A
7227	0	FC	E2	0A	0A
7228	0	FC	E2	0A	0A
7229	0	FC	E2	0A	0A
7230	0	FC	E2	0A	0A
7231	0	FC	E2	0A	0A
7232	0	FC	E2	0A	0A
7233	0	FC	E2	0A	0A
7234	0	FC	E2	0A	0A
7235	0	FC	E2	0A	0A
7236	0	FC	E2	0A	0A
7237	0	FC	E2	0A	0A
7238	0	FC	E2	0A	0A
7239	0	FC	E2	0A	0A
7240	0	FC	E2	0A	0A
7241	0	FC	E2	0A	0A
7242	0	FC	E2	0A	0A
7243	0	FC	E2	0A	0A
7244	0	FC	E2	0A	0A
7245	0	FC	E2	0A	0A
7246	0	FC	E2	0A	0A
7247	0	FC	E2	0A	0A
7248	0	FC	E2	0A	0A
7249	0	FC	E2	0A	0A
7250	0	FC	E2	0A	0A
7251	0	FC	E2	0A	0A
7252	0	FC	E2	0A	0A
7253	0	FC	E2	0A	0A
7254	0	FC	E2	0A	0A
7255	0	FC	E2	0A	0A
7256	0	FC	E2	0A	0A
7257	0	FC	E2	0A	0A
7258	0	FC	E2	0A	0A
7259	0	FC	E2	0A	0A
7260	0	FC	E2	0A	0A
7261	0	FC	E2	0A	0A
7262	0	FC	E2	0A	0A
7263	0	FC	E2	0A	0A
7264	0	FC	E2	0A	0A
7265	0	FC	E2	0A	0A
7266	0	FC	E2	0A	0A
7267	0	FC	E2	0A	0A
7268	0	FC	E2	0A	0A
7269	0	FC	E2	0A	0A
7270	0	FC	E2	0A	0A
7271	0	FC	E2	0A	0A
7272	0	FC	E2	0A	0A
7273	0	FC	E2	0A	0A
7274	0	FC	E2	0A	0A
7275	0	FC	E2	0A	0A
7276	0	FC	E2	0A	0A
7277	0	FC	E2	0A	0A
7278	0	FC	E2	0A	0A
7279	0	FC	E2	0A	0A
7280	0	FC	E2	0A	0A
7281	0	FC	E2	0A	0A
7282	0	FC	E2	0A	0A
7283	0	FC	E2	0A	0A
7284	0	FC	E2	0A	0A
7285	0	FC	E2	0A	0A
7286	0	FC	E2	0A	0A
7287	0	FC	E2	0A	0A
7288	0	FC	E2	0A	0A
7289	0	FC	E2	0A	0A
7290	0	FC	E2	0A	0A
7291	0	FC	E2	0A	0A
7292	0	FC	E2	0A	0A
7293	0	FC	E2	0A	0A
7294	0	FC	E2	0A	0A
7295	0	FC	E2	0A	0A
7296	0	FC	E2	0A	0A
7297	0	FC	E2	0A	0A
7298	0	FC	E2	0A	0A
7299	0	FC	E2	0A	0A
7300	0	FC	E2	0A	0A
7301	0	FC	E2	0A	0A
7302	0	FC	E2	0A	0A
7303	0	FC	E2	0A	0A
7304	0	FC	E2	0A	0A
7305	0	FC	E2	0A	0A
7306	0	FC	E2	0A	0A
7307	0	FC	E2	0A	0A
7308	0	FC	E2	0A	0A
7309	0	FC	E2	0A	0A
7310	0	FC	E2	0A	0A
7311	0	FC	E2	0A	0A
7312	0	FC	E2	0A	0A
7313	0	FC	E2	0A	0A
7314	0	FC	E2	0A	0A
7315	0	FC	E2	0A	0A
7316	0	FC	E2	0A	0A
7317	0	FC	E2	0A	0A
7318	0	FC	E2	0A	0A
7319	0	FC	E2	0A	0A
7320	0	FC	E2	0A	0A
7321	0	FC	E2	0A	0A
7322	0	FC	E2	0A	0A
7323	0	FC	E2	0A	0A
7324	0	FC	E2	0A	0A
7325	0	FC	E2	0A	0A
7326	0	FC	E2	0A	0A
7327	0	FC	E2	0A	0A
7328	0	FC	E2	0A	0A
7329	0	FC	E2	0A	0A
7330	0	FC	E2	0A	0A
7331	0	FC	E2	0A	0A
7332	0	FC	E2	0A	0A
7333	0	FC	E2	0A	0A
7334	0	FC	E2	0A	0A
7335	0	FC	E2	0A	0A
7336	0	FC	E2	0A	0A
7337	0	FC	E2	0A	0A
7338	0	FC	E2	0A	0A
7339	0	FC	E2	0A	0A
7340	0	FC	E2	0A	0A
7341	0	FC	E2	0A	0A
7342	0	FC	E2	0A	0A
7343	0	FC	E2	0A	0A
7344	0	FC	E2	0A	0A
7345	0	FC	E2	0A	0A
7346	0	FC	E2	0A	0A
7347	0	FC	E2	0A	0A
7348	0	FC	E2	0A	0A
7349	0	FC	E2	0A	0A
7350	0	FC	E2	0A	0A
7351	0	FC	E2	0A	0A
7352	0	FC	E2	0A	0A
7353	0	FC	E2	0A	0A
7354	0	FC	E2	0A	0A
7355	0	FC	E2	0A	0A
