frame	crossing	04D9	03BC_03C5	03C6_03CF
6918	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6919	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6920	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6921	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6922	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6923	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6924	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6925	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6926	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6927	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6928	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6929	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6930	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6931	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6932	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6933	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6934	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6935	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6936	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6937	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6938	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6939	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
6940	0	E2	FC FC 08 00 00 00 00 00 00 00	14 14 00 00 00 00 00 00 00 00
